mod_name,unimod_mass,unimod_avge_mass,composition,unimod_modloss,modloss_composition,classification,unimod_id,modloss_importance,mass,modloss_original,modloss
T[UNIMOD:1],42.010565,42.0367,H(2)C(2)O(1),0.0,,Post-translational,1,0.0,42.01056468403,0.0,0.0
[UNIMOD:1]-,42.010565,42.0367,H(2)C(2)O(1),0.0,,Post-translational,1,0.0,42.01056468403,0.0,0.0
S[UNIMOD:1],42.010565,42.0367,H(2)C(2)O(1),0.0,,Post-translational,1,0.0,42.01056468403,0.0,0.0
C[UNIMOD:1],42.010565,42.0367,H(2)C(2)O(1),0.0,,Post-translational,1,0.0,42.01056468403,0.0,0.0
[UNIMOD:1]-,42.010565,42.0367,H(2)C(2)O(1),0.0,,Multiple,1,0.0,42.01056468403,0.0,0.0
K[UNIMOD:1],42.010565,42.0367,H(2)C(2)O(1),0.0,,Multiple,1,0.0,42.01056468403,0.0,0.0
Y[UNIMOD:1],42.010565,42.0367,H(2)C(2)O(1),0.0,,Chemical derivative,1,0.0,42.01056468403,0.0,0.0
H[UNIMOD:1],42.010565,42.0367,H(2)C(2)O(1),0.0,,Chemical derivative,1,0.0,42.01056468403,0.0,0.0
R[UNIMOD:1],42.010565,42.0367,H(2)C(2)O(1),0.0,,Artefact,1,0.0,42.01056468403,0.0,0.0
-[UNIMOD:2],-0.984016,-0.9848,H(1)N(1)O(-1),0.0,,Artefact,2,0.0,-0.9840155829100006,0.0,0.0
-[UNIMOD:2],-0.984016,-0.9848,H(1)N(1)O(-1),0.0,,Post-translational,2,0.0,-0.9840155829100006,0.0,0.0
[UNIMOD:3]-,226.077598,226.2954,H(14)C(10)N(2)O(2)S(1),0.0,,Chemical derivative,3,0.0,226.07759887362,0.0,0.0
K[UNIMOD:3],226.077598,226.2954,H(14)C(10)N(2)O(2)S(1),0.0,,Post-translational,3,0.0,226.07759887362,0.0,0.0
Y[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Artefact,4,0.0,57.02146372069,0.0,0.0
T[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Artefact,4,0.0,57.02146372069,0.0,0.0
S[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Artefact,4,0.0,57.02146372069,0.0,0.0
E[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Artefact,4,0.0,57.02146372069,0.0,0.0
D[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Artefact,4,0.0,57.02146372069,0.0,0.0
H[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Artefact,4,0.0,57.02146372069,0.0,0.0
[UNIMOD:4]-,57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Artefact,4,0.0,57.02146372069,0.0,0.0
K[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Artefact,4,0.0,57.02146372069,0.0,0.0
C[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Chemical derivative,4,0.0,57.02146372069,0.0,0.0
U[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),0.0,,Chemical derivative,4,0.0,57.02146372069,0.0,0.0
M[UNIMOD:4],57.021464,57.0513,H(3)C(2)N(1)O(1),105.024835,H(7)C(3)N(1)O(1)S(1),Chemical derivative,4,0.0,57.02146372069,105.02483502401,0.0
Y[UNIMOD:5],43.005814,43.0247,H(1)C(1)N(1)O(1),0.0,,Chemical derivative,5,0.0,43.00581365623,0.0,0.0
T[UNIMOD:5],43.005814,43.0247,H(1)C(1)N(1)O(1),0.0,,Chemical derivative,5,0.0,43.00581365623,0.0,0.0
S[UNIMOD:5],43.005814,43.0247,H(1)C(1)N(1)O(1),0.0,,Chemical derivative,5,0.0,43.00581365623,0.0,0.0
M[UNIMOD:5],43.005814,43.0247,H(1)C(1)N(1)O(1),0.0,,Artefact,5,0.0,43.00581365623,0.0,0.0
C[UNIMOD:5],43.005814,43.0247,H(1)C(1)N(1)O(1),0.0,,Artefact,5,0.0,43.00581365623,0.0,0.0
R[UNIMOD:5],43.005814,43.0247,H(1)C(1)N(1)O(1),0.0,,Artefact,5,0.0,43.00581365623,0.0,0.0
[UNIMOD:5]-,43.005814,43.0247,H(1)C(1)N(1)O(1),0.0,,Multiple,5,0.0,43.00581365623,0.0,0.0
K[UNIMOD:5],43.005814,43.0247,H(1)C(1)N(1)O(1),0.0,,Multiple,5,0.0,43.00581365623,0.0,0.0
[UNIMOD:5]-,43.005814,43.0247,H(1)C(1)N(1)O(1),0.0,,Post-translational,5,0.0,43.00581365623,0.0,0.0
[UNIMOD:6]-,58.005479,58.0361,H(2)C(2)O(2),0.0,,Artefact,6,0.0,58.0054793036,0.0,0.0
K[UNIMOD:6],58.005479,58.0361,H(2)C(2)O(2),0.0,,Artefact,6,0.0,58.0054793036,0.0,0.0
C[UNIMOD:6],58.005479,58.0361,H(2)C(2)O(2),0.0,,Chemical derivative,6,0.0,58.0054793036,0.0,0.0
W[UNIMOD:6],58.005479,58.0361,H(2)C(2)O(2),0.0,,Chemical derivative,6,0.0,58.0054793036,0.0,0.0
U[UNIMOD:6],58.005479,58.0361,H(2)C(2)O(2),0.0,,Chemical derivative,6,0.0,58.0054793036,0.0,0.0
Q[UNIMOD:7],0.984016,0.9848,H(-1)N(-1)O(1),0.0,,Artefact,7,0.0,0.9840155829100006,0.0,0.0
R[UNIMOD:7],0.984016,0.9848,H(-1)N(-1)O(1),43.005814,H(1)C(1)N(1)O(1),Post-translational,7,0.0,0.9840155829100006,43.00581365623,0.0
N[UNIMOD:7],0.984016,0.9848,H(-1)N(-1)O(1),0.0,,Artefact,7,0.0,0.9840155829100006,0.0,0.0
F[UNIMOD:7],0.984016,0.9848,H(-1)N(-1)O(1),0.0,,Post-translational,7,0.0,0.9840155829100006,0.0,0.0
C[UNIMOD:8],486.251206,486.6253,H(38)C(22)N(4)O(6)S(1),0.0,,Isotopic label,8,0.0,486.25120613428,0.0,0.0
C[UNIMOD:9],494.30142,494.6746,H(30)2H(8)C(22)N(4)O(6)S(1),0.0,,Isotopic label,9,0.0,494.3014201014,0.0,0.0
M[UNIMOD:10],-29.992806,-30.0922,H(-2)C(-1)O(1)S(-1),0.0,,Chemical derivative,10,0.0,-29.99280661929,0.0,0.0
M[UNIMOD:11],-48.003371,-48.1075,H(-4)C(-1)S(-1),0.0,,Chemical derivative,11,0.0,-48.00337130332,0.0,0.0
C[UNIMOD:12],450.275205,450.6221,H(26)2H(8)C(20)N(4)O(5)S(1),0.0,,Isotopic label,12,0.0,450.27520535291006,0.0,0.0
C[UNIMOD:13],442.224991,442.5728,H(34)C(20)N(4)O(5)S(1),0.0,,Isotopic label,13,0.0,442.22499138579,0.0,0.0
C[UNIMOD:17],99.068414,99.1311,H(9)C(5)N(1)O(1),0.0,,Chemical derivative,17,0.0,99.06841391407,0.0,0.0
C[UNIMOD:20],414.193691,414.5196,H(30)C(18)N(4)O(5)S(1),0.0,,Chemical derivative,20,0.0,414.19369125687,0.0,0.0
E[UNIMOD:21],79.966331,79.9799,H(1)O(3)P(1),0.0,,Post-translational,21,0.0,79.96633088936001,0.0,0.0
R[UNIMOD:21],79.966331,79.9799,H(1)O(3)P(1),0.0,,Post-translational,21,0.0,79.96633088936001,0.0,0.0
K[UNIMOD:21],79.966331,79.9799,H(1)O(3)P(1),0.0,,Post-translational,21,0.0,79.96633088936001,0.0,0.0
H[UNIMOD:21],79.966331,79.9799,H(1)O(3)P(1),0.0,,Post-translational,21,0.0,79.96633088936001,0.0,0.0
C[UNIMOD:21],79.966331,79.9799,H(1)O(3)P(1),0.0,,Post-translational,21,0.0,79.96633088936001,0.0,0.0
D[UNIMOD:21],79.966331,79.9799,H(1)O(3)P(1),0.0,,Post-translational,21,0.0,79.96633088936001,0.0,0.0
Y[UNIMOD:21],79.966331,79.9799,H(1)O(3)P(1),0.0,,Post-translational,21,0.0,79.96633088936001,0.0,0.0
T[UNIMOD:21],79.966331,79.9799,H(1)O(3)P(1),97.976896,H(3)O(4)P(1),Post-translational,21,10000000.0,79.96633088936001,97.97689557339,97.97689557339
S[UNIMOD:21],79.966331,79.9799,H(1)O(3)P(1),97.976896,H(3)O(4)P(1),Post-translational,21,100000000.0,79.96633088936001,97.97689557339,97.97689557339
Y[UNIMOD:2007],108.975121,109.0873,H(4)C(1)N(1)O(1)P(1)S(1),0.0,,Chemical derivative,2007,0.0,108.97512192574,0.0,0.0
T[UNIMOD:2007],108.975121,109.0873,H(4)C(1)N(1)O(1)P(1)S(1),0.0,,Chemical derivative,2007,0.0,108.97512192574,0.0,0.0
S[UNIMOD:2007],108.975121,109.0873,H(4)C(1)N(1)O(1)P(1)S(1),0.0,,Chemical derivative,2007,0.0,108.97512192574,0.0,0.0
K[UNIMOD:2007],108.975121,109.0873,H(4)C(1)N(1)O(1)P(1)S(1),0.0,,Chemical derivative,2007,0.0,108.97512192574,0.0,0.0
H[UNIMOD:2007],108.975121,109.0873,H(4)C(1)N(1)O(1)P(1)S(1),0.0,,Chemical derivative,2007,0.0,108.97512192574,0.0,0.0
C[UNIMOD:2007],108.975121,109.0873,H(4)C(1)N(1)O(1)P(1)S(1),0.0,,Chemical derivative,2007,0.0,108.97512192574,0.0,0.0
D[UNIMOD:23],-18.010565,-18.0153,H(-2)O(-1),0.0,,Chemical derivative,23,0.0,-18.01056468403,0.0,0.0
Y[UNIMOD:23],-18.010565,-18.0153,H(-2)O(-1),0.0,,Post-translational,23,0.0,-18.01056468403,0.0,0.0
T[UNIMOD:23],-18.010565,-18.0153,H(-2)O(-1),0.0,,Post-translational,23,0.0,-18.01056468403,0.0,0.0
S[UNIMOD:23],-18.010565,-18.0153,H(-2)O(-1),0.0,,Post-translational,23,0.0,-18.01056468403,0.0,0.0
N[UNIMOD:23],-18.010565,-18.0153,H(-2)O(-1),0.0,,Post-translational,23,0.0,-18.01056468403,0.0,0.0
Q[UNIMOD:23],-18.010565,-18.0153,H(-2)O(-1),0.0,,Post-translational,23,0.0,-18.01056468403,0.0,0.0
C[UNIMOD:23],-18.010565,-18.0153,H(-2)O(-1),0.0,,Artefact,23,0.0,-18.01056468403,0.0,0.0
C[UNIMOD:24],71.037114,71.0779,H(5)C(3)N(1)O(1),0.0,,Artefact,24,0.0,71.03711378515,0.0,0.0
K[UNIMOD:24],71.037114,71.0779,H(5)C(3)N(1)O(1),0.0,,Chemical derivative,24,0.0,71.03711378515,0.0,0.0
[UNIMOD:24]-,71.037114,71.0779,H(5)C(3)N(1)O(1),0.0,,Chemical derivative,24,0.0,71.03711378515,0.0,0.0
[UNIMOD:25]-,119.037114,119.1207,H(5)C(7)N(1)O(1),0.0,,Chemical derivative,25,0.0,119.03711378515,0.0,0.0
K[UNIMOD:25],119.037114,119.1207,H(5)C(7)N(1)O(1),0.0,,Chemical derivative,25,0.0,119.03711378515,0.0,0.0
C[UNIMOD:26],39.994915,40.0208,C(2)O(1),0.0,,Artefact,26,0.0,39.99491461957,0.0,0.0
E[UNIMOD:27],-18.010565,-18.0153,H(-2)O(-1),0.0,,Artefact,27,0.0,-18.01056468403,0.0,0.0
Q[UNIMOD:28],-17.026549,-17.0305,H(-3)N(-1),0.0,,Artefact,28,0.0,-17.02654910112,0.0,0.0
[UNIMOD:29]-,127.063329,127.1412,H(9)C(6)N(1)O(2),0.0,,Chemical derivative,29,0.0,127.06332853364,0.0,0.0
K[UNIMOD:29],127.063329,127.1412,H(9)C(6)N(1)O(2),0.0,,Chemical derivative,29,0.0,127.06332853364,0.0,0.0
D[UNIMOD:30],21.981943,21.9818,H(-1)Na(1),0.0,,Artefact,30,0.0,21.98194424977,0.0,0.0
-[UNIMOD:30],21.981943,21.9818,H(-1)Na(1),0.0,,Artefact,30,0.0,21.98194424977,0.0,0.0
E[UNIMOD:30],21.981943,21.9818,H(-1)Na(1),0.0,,Artefact,30,0.0,21.98194424977,0.0,0.0
C[UNIMOD:31],105.057849,105.1372,H(7)C(7)N(1),0.0,,Chemical derivative,31,0.0,105.05784923004,0.0,0.0
E[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
D[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
-[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Multiple,34,0.0,14.01565006446,0.0,0.0
[UNIMOD:34]-,14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
L[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
I[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
R[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
Q[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
[UNIMOD:34]-,14.01565,14.0266,H(2)C(1),0.0,,Chemical derivative,34,0.0,14.01565006446,0.0,0.0
N[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
K[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
H[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
C[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
S[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
T[UNIMOD:34],14.01565,14.0266,H(2)C(1),0.0,,Post-translational,34,0.0,14.01565006446,0.0,0.0
T[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Chemical derivative,35,0.0,15.99491461957,0.0,0.0
E[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Chemical derivative,35,0.0,15.99491461957,0.0,0.0
S[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Chemical derivative,35,0.0,15.99491461957,0.0,0.0
Q[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Chemical derivative,35,0.0,15.99491461957,0.0,0.0
L[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Chemical derivative,35,0.0,15.99491461957,0.0,0.0
I[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Chemical derivative,35,0.0,15.99491461957,0.0,0.0
U[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Multiple,35,0.0,15.99491461957,0.0,0.0
G[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Pre-translational,35,0.0,15.99491461957,0.0,0.0
W[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Artefact,35,0.0,15.99491461957,0.0,0.0
C[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Post-translational,35,0.0,15.99491461957,0.0,0.0
H[UNIMOD:35],15.994915,15.9994,O(1),0.0,,Artefact,35,0.0,15.99491461957,0.0,0.0
