full,ion,length,charge,neutral_loss,index
A1,A,1,1,,0
A10,A,10,1,,1
A10^2,A,10,2,,2
A10^3,A,10,3,,3
A11,A,11,1,,4
A11^2,A,11,2,,5
A11^3,A,11,3,,6
A12,A,12,1,,7
A12^2,A,12,2,,8
A12^3,A,12,3,,9
A13,A,13,1,,10
A13^2,A,13,2,,11
A13^3,A,13,3,,12
A14,A,14,1,,13
A14^2,A,14,2,,14
A14^3,A,14,3,,15
A15,A,15,1,,16
A15^2,A,15,2,,17
A15^3,A,15,3,,18
A16,A,16,1,,19
A16^2,A,16,2,,20
A16^3,A,16,3,,21
A17,A,17,1,,22
A17^2,A,17,2,,23
A17^3,A,17,3,,24
A18,A,18,1,,25
A18^2,A,18,2,,26
A18^3,A,18,3,,27
A19,A,19,1,,28
A19^2,A,19,2,,29
A19^3,A,19,3,,30
A2,A,2,1,,31
A20,A,20,1,,32
A20^2,A,20,2,,33
A20^3,A,20,3,,34
A21,A,21,1,,35
A21^2,A,21,2,,36
A21^3,A,21,3,,37
A22,A,22,1,,38
A22^2,A,22,2,,39
A22^3,A,22,3,,40
A23,A,23,1,,41
A23^2,A,23,2,,42
A23^3,A,23,3,,43
A24,A,24,1,,44
A24^2,A,24,2,,45
A24^3,A,24,3,,46
A25,A,25,1,,47
A25^2,A,25,2,,48
A25^3,A,25,3,,49
A26,A,26,1,,50
A26^2,A,26,2,,51
A26^3,A,26,3,,52
A27^2,A,27,2,,53
A27^3,A,27,3,,54
A28^2,A,28,2,,55
A28^3,A,28,3,,56
A29^2,A,29,2,,57
A29^3,A,29,3,,58
A2^2,A,2,2,,59
A3,A,3,1,,60
A3^2,A,3,2,,61
A3^3,A,3,3,,62
A4,A,4,1,,63
A4^2,A,4,2,,64
A4^3,A,4,3,,65
A5,A,5,1,,66
A5^2,A,5,2,,67
A5^3,A,5,3,,68
A6,A,6,1,,69
A6^2,A,6,2,,70
A6^3,A,6,3,,71
A7,A,7,1,,72
A7^2,A,7,2,,73
A7^3,A,7,3,,74
A8,A,8,1,,75
A8^2,A,8,2,,76
A8^3,A,8,3,,77
A9,A,9,1,,78
A9^2,A,9,2,,79
A9^3,A,9,3,,80
C1,C,1,1,,81
C10,C,10,1,,82
C10^2,C,10,2,,83
C10^3,C,10,3,,84
C11,C,11,1,,85
C11^2,C,11,2,,86
C11^3,C,11,3,,87
C12,C,12,1,,88
C12^2,C,12,2,,89
C12^3,C,12,3,,90
C13,C,13,1,,91
C13^2,C,13,2,,92
C13^3,C,13,3,,93
C14,C,14,1,,94
C14^2,C,14,2,,95
C14^3,C,14,3,,96
C15,C,15,1,,97
C15^2,C,15,2,,98
C15^3,C,15,3,,99
C16,C,16,1,,100
C16^2,C,16,2,,101
C16^3,C,16,3,,102
C17,C,17,1,,103
C17^2,C,17,2,,104
C17^3,C,17,3,,105
C18,C,18,1,,106
C18^2,C,18,2,,107
C18^3,C,18,3,,108
C19,C,19,1,,109
C19^2,C,19,2,,110
C19^3,C,19,3,,111
C2,C,2,1,,112
C20,C,20,1,,113
C20^2,C,20,2,,114
C20^3,C,20,3,,115
C21,C,21,1,,116
C21^2,C,21,2,,117
C21^3,C,21,3,,118
C22,C,22,1,,119
C22^2,C,22,2,,120
C22^3,C,22,3,,121
C23,C,23,1,,122
C23^2,C,23,2,,123
C23^3,C,23,3,,124
C24,C,24,1,,125
C24^2,C,24,2,,126
C24^3,C,24,3,,127
C25,C,25,1,,128
C25^2,C,25,2,,129
C25^3,C,25,3,,130
C26,C,26,1,,131
C26^2,C,26,2,,132
C26^3,C,26,3,,133
C27,C,27,1,,134
C27^2,C,27,2,,135
C27^3,C,27,3,,136
C28,C,28,1,,137
C28^2,C,28,2,,138
C28^3,C,28,3,,139
C29,C,29,1,,140
C29^2,C,29,2,,141
C29^3,C,29,3,,142
C2^2,C,2,2,,143
C3,C,3,1,,144
C3^2,C,3,2,,145
C3^3,C,3,3,,146
C4,C,4,1,,147
C4^2,C,4,2,,148
C4^3,C,4,3,,149
C5,C,5,1,,150
C5^2,C,5,2,,151
C5^3,C,5,3,,152
C6,C,6,1,,153
C6^2,C,6,2,,154
C6^3,C,6,3,,155
C7,C,7,1,,156
C7^2,C,7,2,,157
C7^3,C,7,3,,158
C8,C,8,1,,159
C8^2,C,8,2,,160
C8^3,C,8,3,,161
C9,C,9,1,,162
C9^2,C,9,2,,163
C9^3,C,9,3,,164
X1,X,1,1,,165
X10,X,10,1,,166
X10^2,X,10,2,,167
X10^3,X,10,3,,168
X11,X,11,1,,169
X11^2,X,11,2,,170
X11^3,X,11,3,,171
X12,X,12,1,,172
X12^2,X,12,2,,173
X12^3,X,12,3,,174
X13,X,13,1,,175
X13^2,X,13,2,,176
X13^3,X,13,3,,177
X14,X,14,1,,178
X14^2,X,14,2,,179
X14^3,X,14,3,,180
X15,X,15,1,,181
X15^2,X,15,2,,182
X15^3,X,15,3,,183
X16,X,16,1,,184
X16^2,X,16,2,,185
X16^3,X,16,3,,186
X17,X,17,1,,187
X17^2,X,17,2,,188
X17^3,X,17,3,,189
X18,X,18,1,,190
X18^2,X,18,2,,191
X18^3,X,18,3,,192
X19,X,19,1,,193
X19^2,X,19,2,,194
X19^3,X,19,3,,195
X2,X,2,1,,196
X20,X,20,1,,197
